date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:54:35	337904/337904	---M-Z	200	added ('OK')	text/css	etag:0x8DC81C206650567	https://github.githubassets.com/assets/primer-87f353b17355.css	D:/lodash/lodash/github.githubassets.com/assets/primer-87f353b17355.css	(from https://github.com/lodash/lodash/blob/4.17.15/lodash.js)
18:54:35	284137/284137	---M-Z	200	added ('OK')	text/css	etag:0x8DC8ADACE7A6255	https://github.githubassets.com/assets/global-b169e665f6fa.css	D:/lodash/lodash/github.githubassets.com/assets/global-b169e665f6fa.css	(from https://github.com/lodash/lodash/blob/4.17.15/lodash.js)
18:54:35	124689/124689	---M-Z	200	added ('OK')	text/css	etag:0x8DC80B36BAA2411	https://github.githubassets.com/assets/github-f1af66156f94.css	D:/lodash/lodash/github.githubassets.com/assets/github-f1af66156f94.css	(from https://github.com/lodash/lodash/blob/4.17.15/lodash.js)
18:54:36	31595/31595	---M-Z	200	added ('OK')	text/css	etag:0x8DC8C88575E4677	https://github.githubassets.com/assets/code-ac15a98582bf.css	D:/lodash/lodash/github.githubassets.com/assets/code-ac15a98582bf.css	(from https://github.com/lodash/lodash/blob/4.17.15/lodash.js)
18:54:36	29837/29837	---M-Z	200	added ('OK')	text/css	etag:0x8DC7086C4266B8C	https://github.githubassets.com/assets/repository-2e900f0ac288.css	D:/lodash/lodash/github.githubassets.com/assets/repository-2e900f0ac288.css	(from https://github.com/lodash/lodash/blob/4.17.15/lodash.js)
18:54:36	43087/43087	---M-Z	200	added ('OK')	application/javascript	etag:0x8DC8EB079C9F035	https://github.githubassets.com/assets/wp-runtime-e05dcf78ba7f.js	D:/lodash/lodash/github.githubassets.com/assets/wp-runtime-e05dcf78ba7f.js	(from https://github.com/lodash/lodash/blob/4.17.15/lodash.js)
18:54:36	21258/21258	---M-Z	200	added ('OK')	application/javascript	etag:0x8DC6F7813A19979	https://github.githubassets.com/assets/vendors-node_modules_dompurify_dist_purify_js-810e4b1b9abd.js	D:/lodash/lodash/github.githubassets.com/assets/vendors-node_modules_dompurify_dist_purify_js-810e4b1b9abd.js	(from https://github.com/lodash/lodash/blob/4.17.15/lodash.js)
18:54:37	9608/9608	---M-Z	200	added ('OK')	application/javascript	etag:0x8DC7C0B1E5EC962	https://github.githubassets.com/assets/vendors-node_modules_oddbird_popover-polyfill_dist_popover_js-4ac41d0a76fd.js	D:/lodash/lodash/github.githubassets.com/assets/vendors-node_modules_oddbird_popover-polyfill_dist_popover_js-4ac41d0a76fd.js	(from https://github.com/lodash/lodash/blob/4.17.15/lodash.js)
18:54:37	13786/13786	---M-Z	200	added ('OK')	application/javascript	etag:0x8DC7C471D5FF4F9	https://github.githubassets.com/assets/vendors-node_modules_smoothscroll-polyfill_dist_smoothscroll_js-node_modules_stacktrace-parse-a448e4-bdc28e06dc01.js	D:/lodash/lodash/github.githubassets.com/assets/vendors-node_modules_smoothscroll-polyfill_dist_smoothscroll_js-node_modules_stacktrace-parse-a448e4-bdc28e06dc01.js	(from https://github.com/lodash/lodash/blob/4.17.15/lodash.js)
18:54:37	13348/13348	---M-Z	200	added ('OK')	application/javascript	etag:0x8DC7C4718498CD2	https://github.githubassets.com/assets/environment-65dcc25bed15.js	D:/lodash/lodash/github.githubassets.com/assets/environment-65dcc25bed15.js	(from https://github.com/lodash/lodash/blob/4.17.15/lodash.js)
18:54:37	8678/8678	---M-Z	200	added ('OK')	application/javascript	etag:0x8DC7A9F31DD72EB	https://github.githubassets.com/assets/vendors-node_modules_primer_behaviors_dist_esm_focus-zone_js-f669b9466f06.js	D:/lodash/lodash/github.githubassets.com/assets/vendors-node_modules_primer_behaviors_dist_esm_focus-zone_js-f669b9466f06.js	(from https://github.com/lodash/lodash/blob/4.17.15/lodash.js)
18:54:37	9584/9584	---M-Z	200	added ('OK')	application/javascript	etag:0x8DBD4BAB420D672	https://github.githubassets.com/assets/vendors-node_modules_github_selector-observer_dist_index_esm_js-9f960d9b217c.js	D:/lodash/lodash/github.githubassets.com/assets/vendors-node_modules_github_selector-observer_dist_index_esm_js-9f960d9b217c.js	(from https://github.com/lodash/lodash/blob/4.17.15/lodash.js)
